Signal_ID,Date,Time,Timestamp,Signal,Prediction,Confidence,Confidence_Bucket,Spot,Strike,OptionType,Target_Nifty,SL_Nifty,Prob_Down,Prob_Side,Prob_Up,XGB_Down,XGB_Side,XGB_Up,LSTM_Down,LSTM_Side,LSTM_Up,Models_Agree,PCR,Equity_Ret,OI_Support,OI_Resistance,Dir_Score,Dir_Verdict,RSI_5m,ADX_5m,MACD_Hist_5m,EMA_Spread,Volatility,Prev_Signal,Signal_Duration_Min,Outcome,Actual_Move_5m,Actual_Move_15m,Actual_Move_30m,Max_Favorable,Max_Adverse,Time_To_Result_Min
11,2026-03-30,10:10:50,2026-03-30T10:10:50.850548,BUY CE,UP,38.6,LOW,22596.4,22650,CE,22690.0,22549.0,37.0,24.4,38.6,31.5,17.0,51.5,45.3,35.5,19.2,NO,1.22,-0.13,22500,23000,10.3,MILDLY BULLISH,33.7,37.4,-1.202,-0.2762,0.207,BUY PE,0.5,EXPIRED,,,,0,10.5,0.5
12,2026-03-30,10:11:21,2026-03-30T10:11:21.651066,BUY PE,DOWN,45.9,MED,22585.9,22600,PE,22491.0,22633.0,45.9,26.4,27.7,44.8,22.1,33.1,47.6,32.8,19.6,YES,1.23,-0.054,22500,23000,10.3,MILDLY BULLISH,32.8,37.5,-1.872,-0.2814,0.21,BUY CE,0.6,EXPIRED,,,,3.4,0,0.6
13,2026-03-30,10:11:55,2026-03-30T10:11:55.344619,BUY PE,DOWN,40.9,LOW,22582.5,22550,PE,22492.0,22628.0,40.9,26.3,32.8,39.6,18.0,42.4,42.9,38.8,18.3,NO,1.23,-0.064,22500,23000,10.3,MILDLY BULLISH,32.6,37.1,-1.546,-0.2803,0.202,BUY PE,0.4,EXPIRED,,,,7.9,0,0.4
14,2026-03-30,10:12:18,2026-03-30T10:12:18.483446,BUY PE,DOWN,36.0,LOW,22574.6,22500,PE,22482.0,22621.0,36.0,31.2,32.8,40.2,23.5,36.3,29.9,42.6,27.5,NO,1.23,-0.064,22500,23000,10.3,MILDLY BULLISH,32.8,37.4,-2.689,-0.2903,0.206,BUY PE,1.6,EXPIRED,,,,13.6,0,1.6
15,2026-03-30,10:13:52,2026-03-30T10:13:52.881755,BUY PE,DOWN,45.6,MED,22561.0,22550,PE,22468.0,22608.0,45.6,25.3,29.0,43.6,20.3,36.0,48.6,32.9,18.5,YES,1.23,-0.124,22500,23000,8.9,MILDLY BULLISH,31.0,37.4,-3.361,-0.2952,0.206,BUY PE,0.4,EXPIRED,,,,0,20.5,0.4
16,2026-03-30,10:14:18,2026-03-30T10:14:18.447895,NO TRADE,UP,34.8,LOW,22581.45,22600,-,22581.44921875,22581.44921875,33.8,31.4,34.8,36.5,24.9,38.6,29.6,41.1,29.3,NO,1.23,-0.124,22500,23000,8.9,MILDLY BULLISH,33.4,37.5,-2.045,-0.2849,0.208,BUY PE,0.4,NO_TRADE,,,,,,
17,2026-03-30,10:14:59,2026-03-30T10:14:59.800613,BUY CE,UP,51.1,MED,22596.05,22600,CE,22691.0,22549.0,24.4,24.4,51.1,22.0,15.9,62.2,28.1,37.3,34.6,NO,1.23,-0.043,22500,23000,10.1,MILDLY BULLISH,35.7,37.5,-1.114,-0.2777,0.211,NO TRADE,1.1,EXPIRED,,,,0,16.9,1.1
18,2026-03-30,10:16:02,2026-03-30T10:16:02.013946,BUY PE,DOWN,42.2,LOW,22579.15,22550,PE,22485.0,22626.0,42.2,28.0,29.8,37.3,25.7,37.0,49.4,31.4,19.2,YES,1.23,-0.044,22500,23000,10.6,MILDLY BULLISH,32.2,37.5,-1.245,-0.2772,0.209,BUY CE,2.0,EXPIRED,,,,15.4,0,2.0
19,2026-03-30,10:18:02,2026-03-30T10:18:02.046593,BUY PE,DOWN,44.9,LOW,22563.75,22500,PE,22472.0,22610.0,44.9,25.4,29.7,41.3,21.4,37.3,50.3,31.3,18.4,YES,1.18,-0.083,22500,23000,1.7,SIDEWAYS / NEUTRAL,31.0,37.2,-1.684,-0.2815,0.205,BUY PE,1.0,EXPIRED,,,,9.0,0,1.0
20,2026-03-30,10:19:02,2026-03-30T10:19:02.085589,BUY PE,DOWN,47.7,MED,22554.8,22550,PE,22462.0,22601.0,47.7,26.5,25.8,46.0,23.0,31.0,50.1,31.7,18.1,YES,1.18,-0.1,22500,23000,2.0,SIDEWAYS / NEUTRAL,30.3,37.2,-2.699,-0.2901,0.206,BUY PE,1.0,EXPIRED,,,,0,0.8,1.0
