Signal_ID,Date,Time,Timestamp,Signal,Prediction,Confidence,Confidence_Bucket,Spot,Strike,OptionType,Target_Nifty,SL_Nifty,Prob_Down,Prob_Side,Prob_Up,XGB_Down,XGB_Side,XGB_Up,LSTM_Down,LSTM_Side,LSTM_Up,Models_Agree,PCR,Equity_Ret,OI_Support,OI_Resistance,Dir_Score,Dir_Verdict,RSI_5m,ADX_5m,MACD_Hist_5m,EMA_Spread,Volatility,Prev_Signal,Signal_Duration_Min,Outcome,Actual_Move_5m,Actual_Move_15m,Actual_Move_30m,Max_Favorable,Max_Adverse,Time_To_Result_Min
54,2026-03-30,11:18:00,2026-03-30T11:18:00.031745,BUY PE,DOWN,40.3,LOW,22474.5,22400,PE,22396.0,22514.0,40.3,28.9,30.8,36.2,24.5,39.3,46.3,35.6,18.1,NO,0.89,-0.075,22000,23000,-24.3,BEARISH,29.3,41.4,3.913,-0.2451,0.173,BUY CE,1.0,EXPIRED,,,,0,3.5,1.0
55,2026-03-30,11:19:00,2026-03-30T11:19:00.213177,NO TRADE,DOWN,34.8,LOW,22478.0,22500,-,22478.0,22478.0,34.8,31.4,33.8,37.5,25.5,37.0,30.6,40.3,29.0,NO,0.89,-0.071,22000,23000,-24.4,BEARISH,29.9,41.4,3.87,-0.2459,0.172,BUY PE,1.0,NO_TRADE,,,,,,
56,2026-03-30,11:20:05,2026-03-30T11:20:05.215616,BUY PE,DOWN,36.4,LOW,22480.45,22450,PE,22403.0,22519.0,36.4,30.8,32.8,38.3,24.7,37.0,33.5,40.0,26.5,NO,0.89,-0.069,22000,23000,-24.3,BEARISH,29.8,41.4,4.177,-0.2432,0.172,NO TRADE,0.9,EXPIRED,,,,9.2,0,0.9
57,2026-03-30,11:21:00,2026-03-30T11:21:00.206152,BUY PE,DOWN,43.7,LOW,22471.2,22400,PE,22393.0,22510.0,43.7,27.3,29.0,40.2,23.0,36.8,49.0,33.7,17.4,YES,0.89,-0.106,22000,23000,-24.9,BEARISH,28.9,41.4,3.697,-0.2468,0.174,BUY PE,0.6,EXPIRED,,,,0,12.6,0.6
58,2026-03-30,11:21:38,2026-03-30T11:21:38.742724,NO TRADE,SIDEWAYS,39.0,LOW,22483.8,22500,-,22483.80078125,22483.80078125,26.6,39.0,34.5,26.5,39.3,34.2,26.7,38.4,34.9,YES,0.89,-0.103,22000,23000,-24.9,BEARISH,32.3,41.9,5.318,-0.2303,0.168,BUY PE,0.6,NO_TRADE,,,,,,
59,2026-03-30,11:22:21,2026-03-30T11:22:21.805669,BUY PE,DOWN,40.1,LOW,22475.45,22450,PE,22399.0,22513.0,40.1,32.1,27.9,36.1,29.6,34.3,46.0,35.8,18.2,YES,0.89,-0.126,22000,23000,-24.5,BEARISH,29.5,41.7,5.235,-0.2302,0.168,NO TRADE,1.6,EXPIRED,,,,1.6,0,1.6
60,2026-03-30,11:23:59,2026-03-30T11:23:59.916504,BUY PE,DOWN,39.4,LOW,22473.85,22400,PE,22398.0,22512.0,39.4,33.2,27.3,36.0,30.8,33.2,44.6,36.8,18.5,YES,0.89,-0.116,22000,23000,-24.5,BEARISH,29.1,41.7,5.018,-0.2321,0.168,BUY PE,1.0,EXPIRED,,,,0,8.4,1.0
61,2026-03-30,11:25:00,2026-03-30T11:25:00.298197,NO TRADE,SIDEWAYS,37.9,LOW,22482.25,22500,-,22482.25,22482.25,29.1,37.9,33.0,30.0,36.8,33.2,27.8,39.5,32.7,YES,0.89,-0.069,22000,23000,-22.7,BEARISH,31.5,41.7,5.306,-0.2302,0.169,BUY PE,1.0,NO_TRADE,,,,,,
62,2026-03-30,11:27:00,2026-03-30T11:27:00.522062,BUY PE,DOWN,39.7,LOW,22475.0,22450,PE,22402.0,22512.0,39.7,31.8,28.5,36.1,28.6,35.3,45.0,36.7,18.3,YES,0.89,-0.101,22000,23000,-23.5,BEARISH,29.6,42.1,6.357,-0.2156,0.162,NO TRADE,1.0,EXPIRED,,,,1.6,0,1.0
63,2026-03-30,11:27:59,2026-03-30T11:27:59.869691,BUY PE,DOWN,35.5,LOW,22473.4,22400,PE,22400.0,22510.0,35.5,34.9,29.7,33.5,30.9,35.6,38.4,40.9,20.7,NO,0.89,-0.103,22000,23000,-24.1,BEARISH,29.2,42.0,5.893,-0.2198,0.163,BUY PE,3.0,EXPIRED,,,,5.7,0,3.0
64,2026-03-30,11:31:00,2026-03-30T11:31:00.236755,NO TRADE,UP,34.4,LOW,22467.75,22450,-,22467.75,22467.75,34.0,31.6,34.4,31.2,25.4,43.5,38.3,41.0,20.7,NO,0.89,-0.141,22000,23000,-24.8,BEARISH,28.6,42.2,5.31,-0.2247,0.163,BUY PE,3.0,NO_TRADE,,,,,,
65,2026-03-30,11:32:05,2026-03-30T11:32:05.541081,BUY CE,UP,41.8,LOW,22488.4,22550,CE,22561.0,22452.0,21.2,37.0,41.8,16.1,37.4,46.5,29.0,36.4,34.6,NO,0.88,-0.005,22000,23000,-21.5,BEARISH,34.5,41.9,7.313,-0.2036,0.162,NO TRADE,0.9,EXPIRED,,,,1.8,0,0.9
66,2026-03-30,11:32:59,2026-03-30T11:32:59.733708,NO TRADE,SIDEWAYS,36.3,LOW,22490.2,22500,-,22490.19921875,22490.19921875,30.8,36.3,32.9,27.5,34.0,38.5,35.6,39.8,24.5,NO,0.88,-0.011,22000,23000,-21.5,BEARISH,34.5,42.8,8.191,-0.1955,0.162,BUY CE,0.9,NO_TRADE,,,,,,
67,2026-03-30,11:35:59,2026-03-30T11:35:59.845642,BUY CE,UP,45.2,MED,22518.0,22500,CE,22594.0,22480.0,18.0,36.7,45.2,9.3,37.0,53.7,31.1,36.4,32.5,NO,0.88,0.058,22000,23000,-20.0,BEARISH,40.9,40.4,10.527,-0.1765,0.168,NO TRADE,1.0,EXPIRED,,,,0,10.8,1.0
68,2026-03-30,11:37:01,2026-03-30T11:37:01.074845,BUY CE,UP,39.8,LOW,22507.25,22550,CE,22581.0,22470.0,28.6,31.6,39.8,18.8,27.3,53.9,43.3,38.1,18.6,NO,0.88,0.029,22000,23000,-20.4,BEARISH,39.2,39.0,11.691,-0.1568,0.164,BUY CE,1.0,EXPIRED,,,,26.0,0,1.0
69,2026-03-30,11:38:02,2026-03-30T11:38:02.224545,BUY CE,UP,41.7,LOW,22533.2,22600,CE,22607.0,22496.0,23.1,35.1,41.7,15.0,31.0,54.0,35.3,41.3,23.4,NO,0.88,0.101,22000,23000,-17.6,BEARISH,44.0,38.3,13.918,-0.1387,0.163,BUY CE,2.0,EXPIRED,,,,0,21.4,2.0
70,2026-03-30,11:40:02,2026-03-30T11:40:02.434473,BUY CE,UP,38.9,LOW,22511.85,22550,CE,22588.0,22474.0,26.2,34.9,38.9,13.0,34.1,52.9,45.9,36.2,17.9,NO,0.88,0.053,22000,23000,-19.1,BEARISH,40.7,38.2,12.53,-0.1494,0.168,BUY CE,6.0,SL_HIT,-0.173,,,0,38.9,6.0
71,2026-03-30,11:46:00,2026-03-30T11:46:00.485093,BUY CE,UP,39.3,LOW,22472.95,22500,CE,22548.0,22435.0,33.5,27.2,39.3,25.9,20.8,53.3,45.0,36.8,18.2,NO,0.91,-0.071,22500,23000,-15.5,BEARISH,34.5,37.9,9.424,-0.1637,0.166,BUY CE,1.0,EXPIRED,,,,0,5.9,1.0
72,2026-03-30,11:47:01,2026-03-30T11:47:01.511014,BUY PE,DOWN,41.1,LOW,22467.1,22400,PE,22395.0,22503.0,41.1,29.9,29.0,42.4,22.3,35.3,39.1,41.4,19.5,NO,0.91,-0.097,22500,23000,-15.9,BEARISH,33.7,37.4,8.507,-0.1611,0.159,BUY CE,5.0,EXPIRED,-0.012,,,2.6,0,5.0
73,2026-03-30,11:52:00,2026-03-30T11:52:00.196361,BUY CE,UP,37.1,LOW,22464.5,22500,CE,22534.0,22430.0,31.1,31.8,37.1,28.9,25.8,45.3,34.3,40.8,24.8,NO,0.9,-0.081,22000,23000,-16.1,BEARISH,34.0,37.5,7.518,-0.1612,0.155,BUY PE,1.1,EXPIRED,,,,0,2.2,1.1
74,2026-03-30,11:53:03,2026-03-30T11:53:03.644415,NO TRADE,SIDEWAYS,36.4,LOW,22462.25,22450,-,22462.25,22462.25,33.8,36.4,29.7,31.8,32.6,35.5,36.8,42.1,21.1,NO,0.89,-0.077,22000,23000,-24.1,BEARISH,33.2,37.5,7.449,-0.1616,0.155,BUY CE,1.1,NO_TRADE,,,,,,
75,2026-03-30,11:55:00,2026-03-30T11:55:00.303875,BUY CE,UP,43.9,LOW,22478.65,22550,CE,22551.0,22443.0,22.2,33.9,43.9,17.0,31.7,51.3,30.1,37.3,32.6,NO,0.89,-0.032,22000,23000,-22.3,BEARISH,37.6,37.1,8.379,-0.1546,0.159,NO TRADE,2.0,EXPIRED,,,,0,7.4,2.0
76,2026-03-30,11:57:00,2026-03-30T11:57:00.213160,BUY CE,UP,44.3,LOW,22471.3,22500,CE,22541.0,22436.0,33.0,22.7,44.3,26.3,12.3,61.4,43.0,38.2,18.7,NO,0.88,-0.128,22000,23000,-22.9,BEARISH,36.4,37.1,8.944,-0.1394,0.155,BUY CE,1.1,EXPIRED,,,,4.0,0,1.1
77,2026-03-30,11:58:04,2026-03-30T11:58:04.169742,BUY CE,UP,46.4,MED,22475.25,22500,CE,22545.0,22440.0,30.8,22.8,46.4,26.7,10.0,63.2,36.8,42.0,21.1,NO,0.88,-0.114,22000,23000,-21.7,BEARISH,36.4,36.7,8.822,-0.141,0.155,BUY CE,6.0,TARGET_HIT,0.323,,,72.5,0,6.0
78,2026-03-30,12:04:02,2026-03-30T12:04:02.725206,NO TRADE,SIDEWAYS,43.1,LOW,22547.8,22550,-,22547.80078125,22547.80078125,30.4,43.1,26.4,26.3,48.9,24.8,36.7,34.4,28.8,NO,0.87,0.036,22000,23000,-14.5,MILDLY BEARISH,51.1,32.6,15.668,-0.0751,0.161,BUY CE,6.0,NO_TRADE,,,,,,
79,2026-03-30,12:06:01,2026-03-30T12:06:01.687499,BUY CE,UP,44.3,LOW,22569.85,22600,CE,22646.0,22532.0,24.7,31.0,44.3,17.2,28.5,54.3,35.8,34.9,29.3,NO,0.87,0.106,22000,23000,-12.1,MILDLY BEARISH,54.4,32.9,17.72,-0.0584,0.168,NO TRADE,1.0,EXPIRED,,,,0,7.3,1.0
80,2026-03-30,12:07:01,2026-03-30T12:07:01.885012,BUY PE,DOWN,35.4,LOW,22562.5,22500,PE,22488.0,22600.0,35.4,32.0,32.6,32.5,26.2,41.3,39.8,40.8,19.4,NO,0.87,0.205,22000,23000,-12.1,MILDLY BEARISH,53.0,32.2,19.159,-0.0295,0.167,BUY CE,1.1,EXPIRED,,,,0,1.1,1.1
81,2026-03-30,12:08:05,2026-03-30T12:08:05.052391,NO TRADE,DOWN,34.0,LOW,22563.6,22550,-,22563.599609375,22563.599609375,34.0,33.6,32.4,32.7,26.9,40.5,36.0,43.6,20.4,NO,0.93,0.218,22500,23000,4.8,SIDEWAYS / NEUTRAL,53.4,32.2,18.983,-0.0313,0.165,BUY PE,1.1,NO_TRADE,,,,,,
82,2026-03-30,12:08:59,2026-03-30T12:08:59.926128,BUY PE,DOWN,38.9,LOW,22548.4,22500,PE,22472.0,22586.0,38.9,33.9,27.1,36.1,30.8,33.0,43.1,38.6,18.3,YES,0.93,0.179,22500,23000,4.7,SIDEWAYS / NEUTRAL,50.7,32.2,17.933,-0.0394,0.168,NO TRADE,1.0,EXPIRED,,,,0,10.8,1.0
83,2026-03-30,12:10:01,2026-03-30T12:10:01.953960,NO TRADE,SIDEWAYS,36.4,LOW,22559.25,22550,-,22559.25,22559.25,27.9,36.4,35.6,25.5,32.7,41.8,31.6,42.0,26.3,NO,0.93,0.194,22500,23000,4.7,SIDEWAYS / NEUTRAL,52.9,32.2,18.151,-0.0386,0.168,BUY PE,1.0,NO_TRADE,,,,,,
84,2026-03-30,12:12:01,2026-03-30T12:12:01.805538,BUY CE,UP,44.7,LOW,22569.65,22600,CE,22643.0,22533.0,27.6,27.7,44.7,23.2,19.3,57.5,34.0,40.4,25.5,NO,0.98,0.285,22500,23000,5.6,MILDLY BULLISH,54.6,31.1,19.601,-0.0081,0.161,NO TRADE,1.0,EXPIRED,,,,8.3,0,1.0
85,2026-03-30,12:13:00,2026-03-30T12:13:00.240758,BUY CE,UP,41.3,LOW,22577.95,22650,CE,22652.0,22541.0,27.3,31.5,41.3,22.4,25.6,52.0,34.5,40.3,25.2,NO,0.98,0.302,22500,23000,6.5,MILDLY BULLISH,55.9,31.1,20.452,-0.0011,0.163,BUY CE,1.1,EXPIRED,,,,0,16.0,1.1
86,2026-03-30,12:14:05,2026-03-30T12:14:05.170601,NO TRADE,DOWN,34.4,LOW,22561.9,22550,-,22561.900390625,22561.900390625,34.4,32.5,33.2,27.6,29.0,43.4,44.5,37.7,17.8,NO,0.98,0.267,22500,23000,6.0,MILDLY BULLISH,52.7,30.9,19.751,-0.0058,0.166,BUY CE,1.1,NO_TRADE,,,,,,
87,2026-03-30,12:15:01,2026-03-30T12:15:01.863155,BUY CE,UP,35.7,LOW,22567.1,22600,CE,22641.0,22530.0,31.9,32.5,35.7,30.0,25.3,44.8,34.7,43.3,22.0,NO,0.98,0.28,22500,23000,5.9,MILDLY BULLISH,54.1,30.9,19.501,-0.0088,0.164,NO TRADE,1.0,EXPIRED,,,,0,11.3,1.0
88,2026-03-30,12:16:01,2026-03-30T12:16:01.946118,NO TRADE,SIDEWAYS,39.3,LOW,22555.8,22550,-,22555.80078125,22555.80078125,33.5,39.3,27.2,31.4,36.0,32.6,36.7,44.3,19.0,YES,0.98,0.245,22500,23000,5.5,MILDLY BULLISH,51.8,29.8,18.379,0.0024,0.159,BUY CE,1.0,PENDING,,,,,,
