Date,Time,Signal,Prediction,Confidence,Spot,Strike,OptionType,Option_LTP,Target,SL,Prob_Down,Prob_Side,Prob_Up,XGB_Down,XGB_Side,XGB_Up,LSTM_Down,LSTM_Side,LSTM_Up,PCR,Equity_Ret
2026-03-12,09:17:28,BUY PE,DOWN,62.5,23575.7,23600,PE,23494.0,23617.0,62.5,12.9,24.6,80.8,5.5,13.7,34.9,24.1,41.0,0.6,-0.696
2026-03-12,09:17:52,BUY PE,DOWN,65.4,23563.4,23550,PE,23480.0,23605.0,65.4,10.9,23.7,80.2,4.0,15.7,43.2,21.2,35.6,0.6,-0.706
2026-03-12,09:18:21,BUY PE,DOWN,65.4,23563.4,23550,PE,23480.0,23605.0,65.4,10.9,23.7,80.2,4.0,15.7,43.2,21.2,35.6,0.6,-0.706
2026-03-12,09:18:55,BUY PE,DOWN,61.2,23567.25,23550,PE,23484.0,23609.0,61.2,13.4,25.4,79.1,5.3,15.6,34.4,25.6,40.0,0.6,-0.657
2026-03-12,09:19:21,BUY PE,DOWN,61.2,23567.25,23550,PE,23484.0,23609.0,61.2,13.4,25.4,79.1,5.3,15.6,34.4,25.6,40.0,0.6,-0.657
2026-03-12,09:19:52,BUY PE,DOWN,61.1,23565.7,23550,PE,23483.0,23607.0,61.1,12.4,26.5,77.5,5.1,17.4,36.5,23.4,40.1,0.6,-0.621
2026-03-12,09:20:25,BUY PE,DOWN,58.2,23563.45,23550,PE,23480.0,23605.0,58.2,13.7,28.1,73.7,6.7,19.6,34.9,24.1,41.0,0.6,-0.611
2026-03-12,09:20:55,BUY PE,DOWN,57.0,23581.1,23600,PE,23496.0,23624.0,57.0,13.8,29.2,73.0,4.8,22.2,32.9,27.4,39.7,0.6,-0.562
2026-03-12,09:21:21,BUY PE,DOWN,57.0,23581.1,23600,PE,23496.0,23624.0,57.0,13.8,29.2,73.0,4.8,22.2,32.9,27.4,39.7,0.6,-0.562
2026-03-12,09:21:53,BUY PE,DOWN,53.7,23571.05,23550,PE,23487.0,23613.0,53.7,11.2,35.1,59.0,4.5,36.5,45.7,21.2,33.1,0.6,-0.516
2026-03-12,09:22:22,BUY PE,DOWN,53.7,23571.05,23550,PE,23487.0,23613.0,53.7,11.2,35.1,59.0,4.5,36.5,45.7,21.2,33.1,0.6,-0.516
2026-03-12,09:23:18,BUY PE,DOWN,53.5,23566.7,23550,PE,23484.0,23608.0,53.5,11.4,35.2,63.0,4.2,32.8,39.1,22.1,38.7,0.6,-0.533
2026-03-12,09:24:16,BUY PE,DOWN,45.3,23585.3,23600,PE,23502.0,23627.0,45.3,13.1,41.6,51.6,6.6,41.8,35.9,22.9,41.1,0.6,-0.477
2026-03-12,09:25:18,BUY CE,UP,45.0,23602.15,23650,CE,23685.0,23561.0,41.3,13.7,45.0,46.9,6.1,47.1,32.9,25.2,41.9,0.6,-0.447
2026-03-12,09:26:18,BUY CE,UP,54.2,23591.75,23600,CE,23673.0,23551.0,33.8,12.1,54.2,32.1,4.7,63.2,36.3,23.1,40.6,0.62,-0.478
2026-03-12,09:27:18,BUY CE,UP,57.0,23608.55,23600,CE,23690.0,23568.0,29.5,13.5,57.0,28.4,5.4,66.2,31.2,25.7,43.2,0.62,-0.454
2026-03-12,09:28:18,BUY CE,UP,55.8,23595.8,23600,CE,23677.0,23555.0,31.6,12.6,55.8,30.1,5.3,64.6,33.8,23.6,42.6,0.62,-0.483
2026-03-12,09:29:20,BUY CE,UP,52.7,23603.95,23600,CE,23686.0,23563.0,32.9,14.4,52.7,35.9,6.0,58.1,28.3,27.1,44.6,0.64,-0.488
2026-03-12,09:30:18,BUY CE,UP,56.4,23600.05,23600,CE,23681.0,23560.0,31.0,12.5,56.4,28.6,5.7,65.7,34.7,22.8,42.5,0.64,-0.463
2026-03-12,09:31:16,BUY CE,UP,52.1,23603.1,23600,CE,23681.0,23564.0,34.7,13.3,52.1,35.2,6.1,58.7,33.9,24.0,42.0,0.64,-0.391
2026-03-12,09:32:20,BUY CE,UP,54.1,23605.5,23600,CE,23686.0,23566.0,32.5,13.4,54.1,29.0,5.8,65.2,37.7,24.9,37.4,0.65,-0.379
2026-03-12,09:33:16,BUY CE,UP,56.0,23604.2,23600,CE,23684.0,23564.0,30.2,13.7,56.0,27.0,6.3,66.7,35.0,25.0,40.0,0.65,-0.403
2026-03-12,09:34:18,BUY CE,UP,56.1,23602.4,23600,CE,23682.0,23562.0,30.0,13.9,56.1,26.6,6.3,67.1,35.2,25.2,39.6,0.65,-0.402
