Date,Close,High,Low,Open,Volume
2023-04-10,3001.250732421875,3009.159983559372,2956.738798026706,2961.3371476348343,2203187
2023-04-11,2955.63525390625,3010.033640232757,2935.7242652855402,3001.8026392985266,2348779
2023-04-12,2981.248046875,2998.997722073373,2942.0242127497345,2968.6486132828945,2417727
2023-04-13,2932.68994140625,2970.5342743154897,2924.550771617108,2952.140873236137,4174070
2023-04-17,2887.303466796875,2909.283486192707,2823.6163302860664,2882.3373394653017,5505048
2023-04-18,2879.2568359375,2903.260312610947,2860.725575355622,2901.512804903714,2617302
2023-04-19,2841.411865234375,2887.7631327122667,2824.76575226934,2879.2561871780026,3298034
2023-04-20,2855.39111328125,2862.9323614573923,2830.7439153761175,2841.7799540325545,2419999
2023-04-21,2906.9384765625,2910.2491532384734,2851.712258277941,2860.1731758215633,1929184
2023-04-24,2919.76806640625,2925.4239465242517,2875.02599070183,2897.9719345104572,1640676
2023-04-25,2920.87158203125,2934.8505195080106,2894.66099006403,2927.3092712863568,2024090
2023-04-26,2941.242431640625,2950.6690488552285,2925.4701814296627,2925.4701814296627,2000029
2023-04-27,2931.862060546875,2942.208348501938,2915.9517239413262,2929.1490788333113,2434446
2023-04-28,2960.6474609375,2968.004820473883,2939.4950522704,2943.311592718381,2931312
2023-05-02,2960.785400390625,2975.1323416797973,2952.140592516893,2975.1323416797973,2321159
2023-05-03,2924.4580078125,2957.65817854612,2918.250236448947,2957.65817854612,2468285
2023-05-04,2961.980712890625,2965.429474911843,2922.710854248113,2924.6880546621,1953253
2023-05-05,2971.177978515625,2983.409635057104,2952.186881840122,2961.3375539099493,1710027
2023-05-08,2989.479248046875,2993.38784535891,2971.7295729946986,2984.3290064830276,928235
2023-05-09,3019.506103515625,3033.0712341108756,2985.2484008259253,2991.3183117851413,1107375
2023-05-10,3022.77099609375,3040.888447761684,3003.687846149381,3025.713894793873,1559987
2023-05-11,3018.494384765625,3043.8313346801706,3009.1598253633715,3043.1876106746317,1719623
2023-05-12,3011.275146484375,3025.7139187593248,2998.1238222356833,3015.7354107050955,1027479
2023-05-15,2993.572021484375,3027.5537847027813,2987.4102770956342,3020.1964243511343,1150390
2023-05-16,2996.42236328125,3021.115589647415,2989.3409500316684,2994.6290519009144,986306
2023-05-17,2950.94482421875,3016.517334349857,2941.3343184708624,2994.39922789193,1588815
2023-05-18,2942.8056640625,2969.567922023238,2938.345175471324,2966.8089124688054,1369364
2023-05-19,2963.9580078125,2974.6720715435754,2945.7485002335166,2952.140160660033,1152449
2023-05-22,3033.71484375,3042.6816246528992,2958.623891436203,2970.533570909172,1333243
2023-05-23,3032.197509765625,3060.615218187134,3025.805849243565,3040.4285099791427,1687418
2023-05-24,3037.991455078125,3050.728747641939,3012.838395148391,3012.838395148391,1016555
2023-05-25,3028.932861328125,3040.42873525149,3004.653665413494,3029.3926962850596,1374917
2023-05-26,3061.489013671875,3070.455795118888,3026.6336145765354,3028.932789306539,1791115
2023-05-29,3053.626708984375,3101.1275798788747,3045.947373831208,3090.827319655744,1210372
2023-05-30,3049.80908203125,3059.69553282269,3036.152119608709,3048.705523127727,1344224
2023-05-31,3025.254638671875,3060.385989782911,3002.860583074768,3043.1882047013933,5815424
2023-06-01,3056.98291015625,3071.6976293387106,3032.611656510299,3047.786210667212,1177314
2023-06-02,3040.060791015625,3067.926608260491,3032.565346909803,3059.0518838880043,2030661
2023-06-05,3024.702392578125,3059.7419072973767,3021.1617980068254,3048.7058679563584,1861468
