Datetime,Close,High,Low,Open,Volume
2026-01-09 03:45:00+00:00,25840.900390625,25940.25,25839.44921875,25871.75,0
2026-01-09 04:00:00+00:00,25876.69921875,25876.69921875,25818.349609375,25841.099609375,0
2026-01-09 04:15:00+00:00,25894.05078125,25897.650390625,25849.650390625,25876.849609375,0
2026-01-09 04:30:00+00:00,25856.599609375,25901.94921875,25850.349609375,25894.19921875,0
2026-01-09 04:45:00+00:00,25887.849609375,25896.849609375,25854.099609375,25858.0,0
2026-01-09 05:00:00+00:00,25856.44921875,25890.75,25838.55078125,25888.44921875,0
2026-01-09 05:15:00+00:00,25821.650390625,25868.400390625,25807.19921875,25856.849609375,0
2026-01-09 05:30:00+00:00,25799.0,25824.30078125,25799.0,25821.94921875,0
2026-01-09 05:45:00+00:00,25804.5,25807.55078125,25791.25,25800.150390625,0
2026-01-09 06:00:00+00:00,25755.349609375,25821.650390625,25754.0,25805.19921875,0
2026-01-09 06:15:00+00:00,25743.25,25761.69921875,25735.19921875,25754.94921875,0
2026-01-09 06:30:00+00:00,25739.349609375,25761.75,25734.94921875,25743.900390625,0
2026-01-09 06:45:00+00:00,25716.75,25756.650390625,25715.650390625,25740.44921875,0
2026-01-09 07:00:00+00:00,25689.150390625,25729.0,25674.69921875,25717.0,0
2026-01-09 07:15:00+00:00,25689.69921875,25699.44921875,25665.25,25688.94921875,0
2026-01-09 07:30:00+00:00,25691.05078125,25698.30078125,25680.650390625,25691.30078125,0
2026-01-09 07:45:00+00:00,25709.150390625,25716.349609375,25685.25,25691.05078125,0
2026-01-09 08:00:00+00:00,25683.80078125,25730.400390625,25681.30078125,25708.599609375,0
2026-01-09 08:15:00+00:00,25683.849609375,25691.94921875,25665.25,25684.900390625,0
2026-01-09 08:30:00+00:00,25660.150390625,25692.94921875,25659.599609375,25683.900390625,0
2026-01-09 08:45:00+00:00,25652.05078125,25675.849609375,25651.900390625,25662.849609375,0
2026-01-09 09:00:00+00:00,25657.30078125,25670.650390625,25623.5,25653.80078125,0
2026-01-09 09:15:00+00:00,25674.69921875,25684.349609375,25657.25,25658.75,0
2026-01-09 09:30:00+00:00,25695.05078125,25703.0,25661.05078125,25679.900390625,0
2026-01-09 09:45:00+00:00,25703.69921875,25703.69921875,25677.05078125,25694.150390625,0
2026-01-12 03:45:00+00:00,25532.44921875,25699.55078125,25529.400390625,25671.94921875,0
2026-01-12 04:00:00+00:00,25557.599609375,25597.099609375,25530.19921875,25532.349609375,0
2026-01-12 04:15:00+00:00,25557.55078125,25608.55078125,25546.0,25558.400390625,0
2026-01-12 04:30:00+00:00,25556.900390625,25596.25,25556.400390625,25557.900390625,0
2026-01-12 04:45:00+00:00,25583.150390625,25598.19921875,25545.94921875,25556.900390625,0
2026-01-12 05:00:00+00:00,25563.150390625,25593.0,25558.25,25582.849609375,0
2026-01-12 05:15:00+00:00,25547.349609375,25582.650390625,25538.80078125,25561.80078125,0
2026-01-12 05:30:00+00:00,25532.849609375,25551.5,25529.55078125,25547.599609375,0
2026-01-12 05:45:00+00:00,25502.400390625,25532.94921875,25501.849609375,25531.900390625,0
2026-01-12 06:00:00+00:00,25480.599609375,25502.5,25473.400390625,25501.94921875,0
2026-01-12 06:15:00+00:00,25501.55078125,25502.849609375,25474.5,25481.44921875,0
2026-01-12 06:30:00+00:00,25578.30078125,25578.900390625,25496.19921875,25501.44921875,0
2026-01-12 06:45:00+00:00,25660.80078125,25678.900390625,25566.25,25577.5,0
2026-01-12 07:00:00+00:00,25723.05078125,25736.80078125,25656.44921875,25660.94921875,0
2026-01-12 07:15:00+00:00,25709.05078125,25738.099609375,25708.849609375,25723.349609375,0
2026-01-12 07:30:00+00:00,25722.30078125,25726.55078125,25673.099609375,25709.5,0
2026-01-12 07:45:00+00:00,25689.05078125,25728.0,25687.25,25721.80078125,0
2026-01-12 08:00:00+00:00,25730.44921875,25757.0,25689.150390625,25689.150390625,0
2026-01-12 08:15:00+00:00,25741.69921875,25748.5,25727.400390625,25730.55078125,0
2026-01-12 08:30:00+00:00,25728.44921875,25743.650390625,25715.099609375,25741.30078125,0
2026-01-12 08:45:00+00:00,25755.69921875,25770.849609375,25727.0,25727.94921875,0
2026-01-12 09:00:00+00:00,25760.80078125,25763.69921875,25704.650390625,25756.0,0
2026-01-12 09:15:00+00:00,25810.44921875,25813.150390625,25755.19921875,25760.349609375,0
2026-01-12 09:30:00+00:00,25778.5,25808.94921875,25775.099609375,25808.94921875,0
2026-01-12 09:45:00+00:00,25806.099609375,25807.94921875,25778.30078125,25778.30078125,0
2026-01-13 03:45:00+00:00,25762.849609375,25889.0,25760.400390625,25886.05078125,0
2026-01-13 04:00:00+00:00,25730.19921875,25778.0,25710.150390625,25761.400390625,0
2026-01-13 04:15:00+00:00,25709.849609375,25789.75,25701.30078125,25732.400390625,0
2026-01-13 04:30:00+00:00,25738.099609375,25771.0,25705.19921875,25710.150390625,0
2026-01-13 04:45:00+00:00,25799.44921875,25803.599609375,25726.099609375,25738.900390625,0
2026-01-13 05:00:00+00:00,25767.69921875,25827.05078125,25750.19921875,25799.30078125,0
2026-01-13 05:15:00+00:00,25778.900390625,25799.599609375,25754.94921875,25766.900390625,0
2026-01-13 05:30:00+00:00,25788.599609375,25799.55078125,25759.650390625,25779.75,0
2026-01-13 05:45:00+00:00,25795.900390625,25803.94921875,25775.69921875,25788.0,0
2026-01-13 06:00:00+00:00,25789.69921875,25819.30078125,25786.75,25794.30078125,0
2026-01-13 06:15:00+00:00,25785.75,25790.400390625,25779.19921875,25788.44921875,0
2026-01-13 08:00:00+00:00,25676.150390625,25676.69921875,25659.599609375,25661.849609375,0
2026-01-13 08:15:00+00:00,25663.650390625,25686.650390625,25658.94921875,25675.25,0
2026-01-13 08:30:00+00:00,25636.55078125,25667.5,25621.44921875,25662.94921875,0
2026-01-13 08:45:00+00:00,25612.599609375,25649.05078125,25609.849609375,25636.25,0
2026-01-13 09:00:00+00:00,25692.650390625,25702.30078125,25603.400390625,25611.650390625,0
2026-01-13 09:15:00+00:00,25707.94921875,25726.05078125,25687.80078125,25692.900390625,0
2026-01-13 09:30:00+00:00,25737.400390625,25757.150390625,25702.05078125,25711.849609375,0
2026-01-13 09:45:00+00:00,25714.19921875,25749.650390625,25710.44921875,25738.849609375,0
2026-01-14 03:45:00+00:00,25737.5,25744.80078125,25640.400390625,25647.05078125,0
2026-01-14 04:00:00+00:00,25706.650390625,25750.150390625,25703.150390625,25737.69921875,0
2026-01-14 04:15:00+00:00,25729.900390625,25761.30078125,25674.400390625,25704.900390625,0
2026-01-14 04:30:00+00:00,25696.80078125,25733.80078125,25692.650390625,25729.599609375,0
2026-01-14 04:45:00+00:00,25688.900390625,25703.75,25661.349609375,25697.900390625,0
2026-01-14 05:00:00+00:00,25675.0,25718.900390625,25662.25,25689.900390625,0
2026-01-14 05:15:00+00:00,25728.80078125,25729.0,25662.0,25674.94921875,0
2026-01-14 05:30:00+00:00,25726.25,25737.900390625,25710.75,25729.30078125,0
2026-01-14 05:45:00+00:00,25770.400390625,25774.150390625,25720.30078125,25723.69921875,0
2026-01-14 06:00:00+00:00,25761.150390625,25777.19921875,25748.5,25770.69921875,0
2026-01-14 06:15:00+00:00,25775.650390625,25785.80078125,25759.400390625,25760.94921875,0
2026-01-14 06:30:00+00:00,25743.349609375,25791.30078125,25742.19921875,25776.44921875,0
2026-01-14 06:45:00+00:00,25755.849609375,25774.900390625,25734.5,25743.69921875,0
2026-01-14 07:00:00+00:00,25753.44921875,25780.900390625,25751.849609375,25756.099609375,0
2026-01-14 07:15:00+00:00,25749.19921875,25769.44921875,25741.150390625,25753.5,0
2026-01-14 07:30:00+00:00,25747.150390625,25761.5,25736.05078125,25749.099609375,0
2026-01-14 07:45:00+00:00,25715.5,25757.30078125,25705.599609375,25746.75,0
2026-01-14 08:00:00+00:00,25659.349609375,25718.55078125,25658.80078125,25715.849609375,0
2026-01-14 08:15:00+00:00,25635.94921875,25670.849609375,25631.349609375,25659.849609375,0
2026-01-14 08:30:00+00:00,25663.19921875,25664.099609375,25632.19921875,25636.05078125,0
2026-01-14 08:45:00+00:00,25624.30078125,25669.75,25604.099609375,25663.25,0
2026-01-14 09:00:00+00:00,25676.650390625,25680.30078125,25618.349609375,25624.400390625,0
2026-01-14 09:15:00+00:00,25678.19921875,25715.650390625,25675.650390625,25676.400390625,0
2026-01-14 09:30:00+00:00,25652.849609375,25694.099609375,25649.400390625,25681.25,0
2026-01-14 09:45:00+00:00,25669.099609375,25677.400390625,25648.30078125,25655.25,0
2026-01-16 03:45:00+00:00,25725.900390625,25742.650390625,25679.19921875,25696.05078125,0
2026-01-16 04:00:00+00:00,25725.900390625,25727.5,25683.80078125,25725.55078125,0
2026-01-16 04:15:00+00:00,25739.25,25755.80078125,25715.19921875,25725.75,0
2026-01-16 04:30:00+00:00,25783.650390625,25789.30078125,25736.80078125,25739.25,0
2026-01-16 04:45:00+00:00,25856.650390625,25865.150390625,25783.900390625,25784.94921875,0
2026-01-16 05:00:00+00:00,25843.69921875,25872.849609375,25839.75,25857.5,0
2026-01-16 05:15:00+00:00,25829.5,25863.900390625,25827.0,25844.55078125,0
2026-01-16 05:30:00+00:00,25812.44921875,25841.80078125,25801.849609375,25829.69921875,0
2026-01-16 05:45:00+00:00,25813.25,25823.400390625,25800.94921875,25812.5,0
2026-01-16 06:00:00+00:00,25798.44921875,25830.650390625,25797.150390625,25813.150390625,0
2026-01-16 06:15:00+00:00,25775.75,25799.44921875,25770.25,25798.44921875,0
2026-01-16 06:30:00+00:00,25823.599609375,25826.599609375,25773.44921875,25775.650390625,0
2026-01-16 06:45:00+00:00,25752.099609375,25829.19921875,25744.900390625,25824.650390625,0
2026-01-16 07:00:00+00:00,25759.55078125,25774.599609375,25737.80078125,25752.05078125,0
2026-01-16 07:15:00+00:00,25744.400390625,25767.849609375,25738.099609375,25759.55078125,0
2026-01-16 07:30:00+00:00,25716.55078125,25746.349609375,25704.099609375,25745.650390625,0
2026-01-16 07:45:00+00:00,25702.099609375,25723.099609375,25662.80078125,25717.05078125,0
2026-01-16 08:00:00+00:00,25696.30078125,25719.75,25683.80078125,25701.650390625,0
2026-01-16 08:15:00+00:00,25684.30078125,25717.099609375,25676.5,25696.349609375,0
2026-01-16 08:30:00+00:00,25688.25,25697.55078125,25667.400390625,25683.69921875,0
2026-01-16 08:45:00+00:00,25697.69921875,25710.5,25671.69921875,25688.05078125,0
2026-01-16 09:00:00+00:00,25710.849609375,25720.44921875,25680.69921875,25697.80078125,0
2026-01-16 09:15:00+00:00,25707.19921875,25716.150390625,25687.5,25710.19921875,0
2026-01-16 09:30:00+00:00,25683.099609375,25709.05078125,25682.80078125,25706.349609375,0
2026-01-16 09:45:00+00:00,25699.150390625,25710.75,25681.599609375,25682.44921875,0
2026-01-19 03:45:00+00:00,25554.75,25631.599609375,25531.099609375,25631.599609375,0
2026-01-19 04:00:00+00:00,25565.599609375,25596.30078125,25532.349609375,25556.349609375,0
2026-01-19 04:15:00+00:00,25543.44921875,25585.0,25540.150390625,25564.75,0
2026-01-19 04:30:00+00:00,25527.900390625,25542.25,25505.349609375,25541.80078125,0
2026-01-19 04:45:00+00:00,25507.25,25547.599609375,25497.55078125,25526.55078125,0
2026-01-19 05:00:00+00:00,25513.55078125,25527.94921875,25494.94921875,25506.400390625,0
